Migration	Subiteration	AvgTime	stdTime	HitRate	IslandsHitRate
0.05	10	5451.46	6550.8	0.758	0.049	0.011	0.013	0.014	0.07	0.012	0.014	0.016	0.054	0.013	0.011	0.013	0.067	0.013	0.011	0.021	0.101	0.014	0.013	0.013	0.074	0.01	0.026	0.021	0.037	0.005	0.01	0.013	0.055	0.018	0.019	0.02	0.046	0.02	0.015	0.02
0.05	20	4458.62	5611.14	0.814	0.071	0.013	0.008	0.013	0.06	0.014	0.009	0.02	0.057	0.012	0.009	0.022	0.063	0.011	0.013	0.022	0.069	0.017	0.019	0.033	0.105	0.013	0.015	0.017	0.041	0.009	0.005	0.021	0.073	0.025	0.027	0.044	0.095	0.028	0.024	0.039
0.05	30	4117.37	5127.33	0.838	0.056	0.016	0.006	0.014	0.073	0.011	0.015	0.029	0.073	0.013	0.012	0.018	0.078	0.009	0.017	0.017	0.092	0.01	0.014	0.026	0.095	0.019	0.019	0.024	0.059	0.01	0.004	0.013	0.125	0.045	0.042	0.045	0.087	0.037	0.025	0.044
0.05	40	3660.98	3710.11	0.787	0.043	0.002	0.007	0.018	0.08	0.01	0.01	0.025	0.079	0.01	0.012	0.014	0.071	0.009	0.007	0.025	0.094	0.016	0.018	0.037	0.077	0.015	0.019	0.023	0.039	0.007	0.006	0.01	0.103	0.042	0.029	0.056	0.093	0.043	0.033	0.059
0.05	50	2664.68	2428.87	0.803	0.055	0.003	0.006	0.013	0.057	0.007	0.008	0.021	0.07	0.017	0.006	0.021	0.069	0.011	0.008	0.028	0.08	0.009	0.01	0.022	0.082	0.014	0.008	0.02	0.064	0.004	0.005	0.013	0.115	0.047	0.035	0.067	0.136	0.044	0.027	0.062
0.05	60	2421.79	1890.61	0.764	0.069	0.002	0.004	0.014	0.067	0.008	0.011	0.025	0.053	0.007	0.013	0.024	0.082	0.004	0.01	0.01	0.086	0.008	0.012	0.012	0.071	0.019	0.011	0.02	0.058	0.013	0.005	0.019	0.133	0.049	0.04	0.066	0.126	0.058	0.04	0.063
0.05	70	1954.16	1347.88	0.755	0.043	0.002	0.008	0.013	0.063	0.01	0.004	0.017	0.054	0.009	0.012	0.012	0.075	0.002	0.01	0.015	0.083	0.009	0.018	0.018	0.084	0.01	0.005	0.021	0.054	0.009	0.007	0.012	0.123	0.05	0.039	0.083	0.113	0.051	0.031	0.07
0.05	80	1912.61	1207.8	0.723	0.049	0.008	0.003	0.011	0.065	0.006	0.009	0.014	0.068	0.008	0.01	0.01	0.067	0.009	0.005	0.009	0.082	0.009	0.012	0.013	0.091	0.006	0.014	0.018	0.063	0.009	0.004	0.012	0.131	0.044	0.037	0.065	0.124	0.044	0.047	0.051
0.05	90	1668.39	902.096	0.679	0.051	0.005	0.005	0.011	0.059	0.01	0.009	0.02	0.075	0.004	0.004	0.013	0.064	0.008	0.005	0.01	0.058	0.008	0.01	0.019	0.084	0.005	0.008	0.01	0.045	0.006	0.004	0.016	0.122	0.027	0.02	0.044	0.109	0.032	0.028	0.035
0.05	100	1488.43	756.474	0.675	0.035	0.005	0.008	0.007	0.067	0.011	0.004	0.01	0.055	0.007	0.006	0.013	0.06	0.008	0.005	0.012	0.074	0.007	0.01	0.013	0.081	0.007	0.009	0.014	0.043	0.005	0.003	0.007	0.113	0.027	0.044	0.066	0.093	0.035	0.028	0.059
0.1	10	6084.25	6816.16	0.723	0.051	0.006	0.008	0.012	0.059	0.008	0.01	0.016	0.057	0.008	0.006	0.022	0.093	0.012	0.007	0.021	0.064	0.02	0.021	0.031	0.097	0.016	0.014	0.028	0.037	0.012	0.007	0.012	0.053	0.018	0.012	0.022	0.048	0.016	0.005	0.017
0.1	20	4480.8	5683.96	0.803	0.052	0.004	0.005	0.018	0.08	0.011	0.011	0.019	0.058	0.008	0.008	0.02	0.079	0.01	0.013	0.015	0.101	0.023	0.02	0.03	0.082	0.015	0.021	0.024	0.051	0.003	0.005	0.012	0.084	0.026	0.015	0.04	0.077	0.021	0.017	0.038
0.1	30	4576.44	5445.14	0.809	0.073	0.006	0.006	0.018	0.077	0.016	0.01	0.023	0.072	0.011	0.003	0.026	0.079	0.016	0.009	0.02	0.091	0.013	0.013	0.026	0.088	0.016	0.019	0.024	0.061	0.007	0.01	0.017	0.081	0.02	0.02	0.047	0.095	0.034	0.027	0.039
0.1	40	3345.94	3555.85	0.818	0.049	0.011	0.006	0.021	0.074	0.008	0.007	0.018	0.066	0.009	0.01	0.028	0.064	0.007	0.015	0.019	0.087	0.016	0.012	0.028	0.113	0.021	0.019	0.03	0.069	0.01	0.009	0.018	0.111	0.035	0.027	0.05	0.126	0.04	0.037	0.055
0.1	50	2788.49	2507.86	0.782	0.046	0.004	0.003	0.019	0.064	0.004	0.01	0.018	0.065	0.012	0.011	0.006	0.078	0.01	0.011	0.016	0.094	0.014	0.017	0.027	0.09	0.017	0.014	0.027	0.065	0.004	0.004	0.019	0.115	0.042	0.031	0.063	0.126	0.046	0.035	0.059
0.1	60	2372.02	1876.03	0.767	0.065	0.003	0.005	0.012	0.056	0.01	0.008	0.028	0.065	0.008	0.011	0.022	0.071	0.007	0.008	0.024	0.08	0.016	0.016	0.031	0.083	0.015	0.017	0.026	0.06	0.007	0.008	0.022	0.115	0.053	0.042	0.062	0.129	0.046	0.043	0.064
0.1	70	1973.49	1359.23	0.745	0.05	0.004	0.004	0.015	0.057	0.007	0.003	0.024	0.068	0.007	0.011	0.013	0.083	0.005	0.003	0.012	0.081	0.006	0.014	0.023	0.078	0.011	0.01	0.016	0.054	0.013	0.003	0.013	0.111	0.05	0.042	0.08	0.126	0.054	0.045	0.074
0.1	80	1881.9	1197.2	0.731	0.055	0.004	0.002	0.007	0.058	0.005	0.011	0.02	0.065	0.01	0.008	0.016	0.07	0.007	0.005	0.013	0.082	0.011	0.007	0.03	0.073	0.005	0.01	0.02	0.052	0.008	0.006	0.013	0.124	0.054	0.04	0.071	0.125	0.051	0.048	0.062
0.1	90	1652.28	916.631	0.682	0.041	0.001	0.004	0.008	0.067	0.01	0.006	0.011	0.053	0.011	0.005	0.016	0.071	0.005	0.009	0.012	0.081	0.007	0.004	0.022	0.08	0.01	0.007	0.015	0.045	0.008	0.005	0.013	0.097	0.042	0.039	0.047	0.127	0.035	0.029	0.053
0.1	100	1513.85	778.149	0.654	0.043	0.005	0.004	0.009	0.044	0.005	0.008	0.014	0.062	0.012	0.007	0.022	0.057	0.005	0.001	0.013	0.06	0.01	0.007	0.011	0.071	0.008	0.008	0.009	0.048	0.003	0.004	0.014	0.087	0.035	0.026	0.051	0.107	0.031	0.028	0.059
0.15	10	5731.14	6736.67	0.742	0.063	0.01	0.002	0.021	0.066	0.012	0.014	0.021	0.074	0.016	0.012	0.022	0.058	0.006	0.008	0.011	0.081	0.009	0.016	0.027	0.067	0.018	0.016	0.029	0.047	0.014	0.01	0.011	0.064	0.022	0.01	0.015	0.055	0.01	0.013	0.021
0.15	20	5050.14	5978.42	0.771	0.066	0.004	0.012	0.016	0.062	0.009	0.011	0.023	0.075	0.009	0.011	0.018	0.071	0.015	0.004	0.019	0.086	0.02	0.018	0.023	0.085	0.017	0.02	0.034	0.055	0.004	0.013	0.015	0.066	0.025	0.017	0.03	0.075	0.017	0.014	0.025
0.15	30	4435.94	5454.39	0.808	0.05	0.008	0.004	0.009	0.083	0.007	0.011	0.02	0.069	0.016	0.013	0.024	0.073	0.011	0.013	0.019	0.09	0.017	0.012	0.024	0.075	0.016	0.028	0.037	0.05	0.006	0.007	0.014	0.107	0.034	0.019	0.053	0.116	0.029	0.027	0.042
0.15	40	3507.99	3632.73	0.8	0.052	0.005	0.006	0.013	0.075	0.008	0.014	0.031	0.077	0.01	0.015	0.018	0.087	0.006	0.005	0.015	0.106	0.01	0.017	0.016	0.088	0.015	0.02	0.022	0.065	0.006	0.009	0.015	0.111	0.043	0.027	0.048	0.121	0.03	0.029	0.056
0.15	50	2828.49	2533.53	0.771	0.041	0.002	0.008	0.009	0.071	0.013	0.011	0.017	0.063	0.014	0.008	0.021	0.075	0.01	0.008	0.012	0.082	0.009	0.025	0.015	0.078	0.016	0.016	0.019	0.06	0.005	0.006	0.025	0.119	0.038	0.038	0.064	0.115	0.04	0.038	0.074
0.15	60	2365.29	1861.37	0.768	0.064	0.005	0.003	0.013	0.063	0.009	0.007	0.021	0.065	0.006	0.01	0.01	0.088	0.004	0.003	0.019	0.069	0.011	0.012	0.029	0.084	0.006	0.012	0.02	0.061	0.006	0.007	0.013	0.121	0.04	0.037	0.068	0.119	0.061	0.039	0.074
0.15	70	1869.08	1301.57	0.775	0.058	0.002	0.002	0.012	0.071	0.006	0.007	0.017	0.069	0.009	0.011	0.025	0.086	0.005	0.004	0.012	0.082	0.008	0.01	0.021	0.079	0.018	0.009	0.02	0.066	0.006	0.005	0.018	0.147	0.045	0.03	0.074	0.128	0.039	0.032	0.061
0.15	80	1840.27	1173.66	0.734	0.06	0.003	0.003	0.013	0.061	0.006	0.003	0.013	0.069	0.003	0.006	0.012	0.075	0.004	0.007	0.014	0.073	0.006	0.012	0.013	0.095	0.013	0.007	0.016	0.063	0.004	0.007	0.012	0.117	0.031	0.035	0.062	0.138	0.036	0.024	0.065
0.15	90	1613.24	891.63	0.685	0.039	0.004	0.004	0.009	0.066	0.007	0.006	0.015	0.062	0.015	0.008	0.013	0.058	0.006	0.009	0.015	0.072	0.005	0.011	0.012	0.079	0.003	0.007	0.023	0.051	0.003	0.007	0.022	0.099	0.034	0.032	0.056	0.11	0.036	0.03	0.053
0.15	100	1515.64	750.315	0.655	0.041	0.003	0.004	0.008	0.051	0.007	0.006	0.012	0.048	0.008	0.009	0.013	0.069	0.01	0.008	0.011	0.073	0.014	0.015	0.016	0.066	0.01	0.006	0.02	0.055	0.009	0.006	0.012	0.095	0.029	0.021	0.043	0.097	0.031	0.018	0.056
0.2	10	5778.72	6654.81	0.735	0.056	0.007	0.009	0.009	0.077	0.01	0.012	0.027	0.055	0.017	0.013	0.019	0.068	0.01	0.006	0.015	0.08	0.015	0.011	0.027	0.082	0.013	0.007	0.021	0.055	0.008	0.006	0.02	0.044	0.017	0.021	0.02	0.053	0.018	0.013	0.015
