Tasks:5	Robots:3
Iteration	timeToScheduling	scheduledPercentage	fitnessExpected	fitnessObtained	energyExpected	energyObtained	timeExpected	timeObtained	payloadExpected	payloadObtained	meanNormEnergyE	stdNormEnergyE	meanNormEnergyO	stdNormEnergyO	meanNormPayloadE	stdNormPayloadE	meanNormPayloadO	stdNormPayloadO
0	423	1.000000	1.001527	1.001527	0.003519	0.003519	86.679357	86.679357	28	28	0.606061	0.524864	0.606061	0.524864	0.513580	0.445759	0.513580	0.445759
1	420	1.000000	1.004102	1.004102	0.007921	0.007921	141.987899	141.987899	15	15	0.909091	0.000000	0.909091	0.000000	0.618519	0.354222	0.618519	0.354222
2	428	1.000000	1.012763	1.012763	0.023370	0.023370	402.395419	402.395419	27	27	0.606061	0.524864	0.606061	0.524864	0.583333	0.520416	0.583333	0.520416
3	420	1.000000	1.005811	1.005811	0.010993	0.010993	220.521021	220.521021	18	18	0.909091	0.000000	0.909091	0.000000	0.814815	0.195105	0.814815	0.195105
4	423	1.000000	1.004798	1.004798	0.010167	0.010167	191.755265	191.755265	9	9	0.909091	0.000000	0.909091	0.000000	0.666667	0.381881	0.666667	0.381881
5	561	1.000000	1.006165	1.006165	0.010858	0.010858	202.867794	202.867794	12	12	0.909091	0.000000	0.909091	0.000000	0.933333	0.115470	0.933333	0.115470
6	423	1.000000	1.006202	1.006202	0.010728	0.010728	235.572313	235.572313	12	12	0.606061	0.524864	0.606061	0.524864	0.629630	0.548098	0.629630	0.548098
7	422	1.000000	1.009136	1.005250	0.017854	0.014141	279.988884	222.116107	11	11	0.606061	0.524864	0.483718	0.481699	0.523810	0.501698	0.476190	0.501698
8	422	1.000000	1.003432	1.003432	0.007504	0.007504	151.339336	151.339336	22	22	0.606061	0.524864	0.606061	0.524864	0.592593	0.525091	0.592593	0.525091
9	422	1.000000	1.001993	1.001473	0.004666	0.004149	106.987893	93.837284	13	13	0.909091	0.000000	0.805551	0.097312	0.833333	0.288675	0.879630	0.125257
10	438	1.000000	1.007359	1.007359	0.016878	0.016878	282.865085	282.865085	24	24	0.909091	0.000000	0.909091	0.000000	0.788889	0.236487	0.788889	0.236487
11	433	1.000000	1.002825	1.001797	0.005280	0.004454	126.508732	103.014685	19	19	0.909091	0.000000	0.794616	0.200304	0.740741	0.231296	0.731481	0.278240
12	444	1.000000	1.004491	1.002239	0.010249	0.006675	209.878695	107.925531	12	12	0.909091	0.000000	0.606061	0.524864	0.700000	0.327872	0.444444	0.509175
13	420	1.000000	1.008214	1.004666	0.015115	0.010036	263.490028	181.806945	28	28	0.909091	0.000000	0.773229	0.321372	0.928571	0.123718	0.952381	0.082479
14	526	1.000000	1.003098	1.002039	0.006835	0.005775	127.971351	108.299519	16	16	0.909091	0.000000	0.787576	0.220967	0.651852	0.311376	0.644444	0.329281
15	422	1.000000	1.008565	1.005771	0.015557	0.012070	357.102267	284.173102	28	28	0.909091	0.000000	0.754431	0.205709	0.851852	0.169725	0.851852	0.169725
16	424	1.000000	1.003417	1.003239	0.005974	0.005796	124.326892	120.487938	21	21	0.606061	0.524864	0.594365	0.515034	0.483333	0.500833	0.483333	0.500833
