Tasks:15	Robots:5
Iteration	timeToScheduling	scheduledPercentage	fitnessExpected	fitnessObtained	energyExpected	energyObtained	timeExpected	timeObtained	payloadExpected	payloadObtained	meanNormEnergyE	stdNormEnergyE	meanNormEnergyO	stdNormEnergyO	meanNormPayloadE	stdNormPayloadE	meanNormPayloadO	stdNormPayloadO
0	2701	1.000000	1.011191	1.005498	0.022548	0.014858	442.714268	285.963234	22	22	0.909091	0.000000	0.766396	0.335544	0.586508	0.317664	0.600317	0.394473
1	2532	1.000000	1.014704	1.010889	0.027971	0.024422	631.326071	540.143674	67	67	0.909091	0.000000	0.766613	0.102348	0.728333	0.162190	0.750000	0.155902
2	4678	1.000000	1.011784	1.008361	0.027415	0.023871	431.029555	372.703033	66	66	0.727273	0.406558	0.656005	0.378032	0.597619	0.373547	0.605119	0.372867
3	2711	0.933333	1.015956	209.887789	0.035448	0.028725	756.840540	614.594188	79	74	0.909091	0.000000	0.807838	0.236116	0.756111	0.213622	0.698056	0.241778
4	2676	1.000000	1.012457	1.004769	0.023356	0.015517	420.900106	283.915088	82	82	0.727273	0.406558	0.546404	0.354028	0.614127	0.345597	0.634921	0.357224
5	2687	1.000000	1.015450	1.007535	0.030908	0.021419	642.004033	451.716414	21	21	0.909091	0.000000	0.652566	0.386264	0.866667	0.182574	0.650000	0.418330
6	2570	0.933333	1.009534	119.215513	0.021484	0.016239	375.428540	278.287786	87	77	0.727273	0.406558	0.482119	0.354544	0.677460	0.391511	0.686667	0.417399
7	2685	0.933333	1.014661	134.472429	0.029559	0.020557	496.410778	323.049286	59	54	0.909091	0.000000	0.638482	0.433805	0.855556	0.144871	0.665889	0.564492
8	3477	0.933333	1.008761	210.793496	0.021773	0.019432	491.595208	439.215722	47	45	0.909091	0.000000	0.797135	0.112959	0.757143	0.166599	0.724286	0.237740
9	2509	1.000000	1.008789	1.005089	0.017538	0.013921	356.186926	286.359455	60	60	0.909091	0.000000	0.719185	0.242912	0.856481	0.150801	0.826720	0.211284
10	2966	1.000000	1.008192	1.002839	0.017065	0.012098	366.904055	245.953244	57	57	0.909091	0.000000	0.769065	0.268879	0.705000	0.278613	0.522667	0.323371
11	3555	1.000000	1.019868	1.008123	0.039026	0.025794	816.691954	508.067506	59	59	0.909091	0.000000	0.677146	0.304078	0.601667	0.340057	0.577381	0.329861
12	2460	0.933333	1.014185	205.626702	0.029936	0.026568	716.226652	633.419367	56	54	0.909091	0.000000	0.697094	0.392892	0.726000	0.281745	0.477333	0.355296
13	3879	1.000000	1.015737	1.010824	0.031341	0.027354	582.823565	506.163414	56	56	0.909091	0.000000	0.775639	0.118189	0.827778	0.160054	0.809259	0.179496
14	3071	1.000000	1.010770	1.005607	0.023855	0.018612	414.218786	306.060746	59	59	0.909091	0.000000	0.562285	0.380241	0.708611	0.180983	0.475926	0.272216
15	3295	1.000000	1.026177	1.019331	0.059763	0.052918	1032.819695	912.700260	52	52	0.727273	0.406558	0.675649	0.383300	0.525926	0.356836	0.525926	0.356836
16	4345	0.866667	1.016022	610.726413	0.031982	0.026537	673.539188	483.829612	52	46	0.909091	0.000000	0.903579	0.531286	0.846019	0.187973	0.872963	0.486370
17	4684	1.000000	1.020679	1.009601	0.043547	0.027403	770.506037	498.856968	58	58	0.909091	0.000000	0.705796	0.243257	0.805000	0.164317	0.796667	0.136626
18	4686	0.933333	1.014891	214.066184	0.027878	0.014337	507.965888	270.482561	70	65	0.909091	0.000000	0.666354	0.399383	0.797917	0.193705	0.493333	0.326141
19	4687	1.000000	1.013762	1.005174	0.031070	0.020762	573.365370	385.953435	69	69	0.727273	0.406558	0.524337	0.328651	0.604159	0.340587	0.619683	0.349233
20	2554	1.000000	1.012536	1.006031	0.026002	0.018163	493.925281	333.976614	61	61	0.909091	0.000000	0.690343	0.214938	0.815000	0.214767	0.828571	0.202267
21	4670	0.933333	1.028301	217.071843	0.055724	0.027751	931.863867	475.876317	71	68	0.909091	0.000000	0.546057	0.351089	0.690000	0.203306	0.450833	0.275006
22	2764	0.933333	1.019455	216.233315	0.034803	0.024826	633.000254	458.145776	75	69	0.909091	0.000000	0.690627	0.214518	0.958889	0.042237	0.927619	0.071856
