Tasks:50	Robots:15
Iteration	timeToScheduling	scheduledPercentage	fitnessExpected	fitnessObtained	energyExpected	energyObtained	timeExpected	timeObtained	payloadExpected	payloadObtained	meanNormEnergyE	stdNormEnergyE	meanNormEnergyO	stdNormEnergyO	meanNormPayloadE	stdNormPayloadE	meanNormPayloadO	stdNormPayloadO
0	39883	0.940000	1.044075	759.736534	0.101848	0.071723	1951.598914	1364.981009	133	130	0.909091	0.000000	0.752842	0.328731	0.705492	0.209897	0.695913	0.316698
1	39569	0.960000	1.061101	428.031490	0.133983	0.081529	2518.896004	1520.703097	161	158	0.909091	0.000000	0.578263	0.323428	0.605855	0.224971	0.494947	0.232041
2	39661	0.780000	1.045488	16451.353073	0.107106	0.081336	2056.769157	1593.146950	192	147	0.848485	0.234726	0.549966	0.498561	0.663069	0.303047	0.457964	0.349933
3	39777	1.000000	1.070669	1.015903	0.135497	0.073976	2570.244956	1448.918501	173	173	0.909091	0.000000	0.583276	0.281335	0.669353	0.231044	0.581283	0.300417
4	39841	0.960000	1.045091	610.960187	0.100406	0.063457	1916.119612	1181.222792	153	144	0.909091	0.000000	0.619364	0.297334	0.670291	0.268183	0.534426	0.355155
5	39642	0.820000	1.055090	10246.975647	0.121056	0.103425	2627.133179	2269.437784	173	143	0.848485	0.234726	0.673183	0.447360	0.617102	0.240794	0.475654	0.283723
6	39884	0.960000	1.044745	418.947808	0.094423	0.059320	1857.406217	1238.514115	146	144	0.909091	0.000000	0.560743	0.353060	0.761746	0.178636	0.595004	0.386967
7	39750	0.960000	1.038184	613.997918	0.086137	0.064116	1811.714469	1345.049300	167	165	0.909091	0.000000	0.672725	0.376363	0.630893	0.273654	0.551633	0.259891
8	39815	0.980000	1.062401	110.038974	0.132923	0.084526	2805.739784	1679.670614	214	210	0.909091	0.000000	0.655583	0.332352	0.777784	0.127471	0.681329	0.242824
9	39655	0.760000	1.050892	19386.207296	0.109991	0.094163	2048.396133	1698.747252	148	104	0.848485	0.234726	0.555913	0.352276	0.673413	0.295822	0.584832	0.369952
10	39854	0.920000	1.050316	1784.398147	0.107904	0.069814	2071.649897	1364.301397	211	197	0.848485	0.234726	0.578771	0.346654	0.631124	0.260623	0.505276	0.334414
11	39748	0.960000	1.044451	494.490408	0.102056	0.075525	2027.627701	1469.660985	119	113	0.909091	0.000000	0.721503	0.231354	0.719709	0.210412	0.753254	0.380684
12	39842	0.940000	1.044807	706.010680	0.098712	0.065061	1947.859075	1321.087487	173	162	0.909091	0.000000	0.637122	0.306759	0.756852	0.161712	0.655423	0.332549
13	39587	0.980000	1.038415	110.626082	0.087323	0.060119	1689.399296	1099.755039	134	127	0.848485	0.234726	0.671615	0.519195	0.625608	0.291230	0.474048	0.286903
14	39599	1.000000	1.044972	1.011319	0.089930	0.047885	1604.651943	902.124734	178	178	0.909091	0.000000	0.589648	0.349408	0.625132	0.233472	0.425399	0.271775
15	39700	0.940000	1.043209	1018.683102	0.097382	0.074312	1753.085223	1335.872009	170	157	0.848485	0.234726	0.655051	0.271458	0.672890	0.285892	0.708823	0.532742
16	39401	0.960000	1.049739	611.447011	0.109139	0.072554	2091.891931	1398.727802	144	138	0.848485	0.234726	0.644865	0.334357	0.546435	0.286077	0.507976	0.274906
17	39589	0.920000	1.063566	2153.274035	0.130908	0.103388	2568.589629	2034.264111	217	207	0.909091	0.000000	0.630714	0.303837	0.673939	0.216175	0.631528	0.257447
18	39566	0.960000	1.049982	419.306574	0.099293	0.052040	1919.910193	1011.197393	191	184	0.787879	0.319878	0.524581	0.334149	0.594714	0.299708	0.509167	0.330825
19	39493	0.980000	1.033585	207.933896	0.066877	0.039957	1260.484488	824.031590	175	174	0.848485	0.234726	0.556601	0.377660	0.553542	0.257268	0.447707	0.337480
20	39775	0.960000	1.045263	436.205550	0.096072	0.060569	1839.967840	1141.220428	124	118	0.909091	0.000000	0.605473	0.276953	0.571931	0.208698	0.510794	0.251010
21	39868	0.980000	1.047564	206.535030	0.106099	0.065270	2251.974317	1369.571897	182	178	0.909091	0.000000	0.566345	0.339669	0.690331	0.231275	0.499392	0.323670
22	39727	0.680000	1.040548	39134.648068	0.092410	0.073202	1777.098252	1309.858173	242	169	0.848485	0.234726	0.483996	0.542255	0.763907	0.269515	0.448234	0.393433
23	39724	0.940000	1.039075	392.236763	0.091099	0.062573	1636.005403	1072.491407	202	188	0.848485	0.234726	0.536254	0.446728	0.595399	0.243740	0.517037	0.521193
24	39638	0.780000	1.070838	17261.012855	0.141664	0.139383	2547.695415	2391.407368	161	127	0.909091	0.000000	0.665566	0.574044	0.643368	0.214504	0.508155	0.298735
25	39975	0.960000	1.030013	441.448980	0.068002	0.045647	1328.201956	882.159145	174	169	0.787879	0.319878	0.524891	0.336381	0.580640	0.278275	0.469602	0.307596
26	39456	0.940000	1.057093	1294.414165	0.111941	0.075111	2022.468013	1363.684677	171	166	0.909091	0.000000	0.645460	0.236254	0.705696	0.160388	0.617654	0.250390
27	39854	1.000000	1.047632	1.015523	0.091783	0.057629	1555.036071	971.887110	174	174	0.909091	0.000000	0.598127	0.288225	0.684481	0.273796	0.548331	0.324170
28	39648	0.980000	1.075853	204.765460	0.150047	0.094706	2990.957367	1739.284387	149	148	0.909091	0.000000	0.620012	0.326439	0.601058	0.300806	0.523862	0.286530
