Tasks:35	Robots:10
Iteration	timeToScheduling	scheduledPercentage	fitnessExpected	fitnessObtained	energyExpected	energyObtained	timeExpected	timeObtained	payloadExpected	payloadObtained	meanNormEnergyE	stdNormEnergyE	meanNormEnergyO	stdNormEnergyO	meanNormPayloadE	stdNormPayloadE	meanNormPayloadO	stdNormPayloadO
0	17020	0.942857	1.045726	625.251625	0.091439	0.060447	1752.862876	1161.863237	196	186	0.727273	0.383306	0.613052	0.379191	0.563868	0.332554	0.566759	0.336994
1	15752	0.971429	1.025645	203.407040	0.051822	0.035091	1029.038287	695.660268	145	139	0.909091	0.000000	0.612579	0.185580	0.607173	0.212810	0.625694	0.257085
2	17438	1.000000	1.031659	1.013383	0.061870	0.042361	1281.676129	856.556049	95	95	0.909091	0.000000	0.692190	0.305758	0.695387	0.195778	0.621032	0.303065
3	20190	0.971429	1.049180	205.997214	0.099626	0.070364	1714.449939	1202.577762	155	152	0.909091	0.000000	0.687164	0.171803	0.720952	0.208619	0.743060	0.162255
4	21090	0.971429	1.034404	116.724658	0.077890	0.040885	1498.003784	795.509933	128	122	0.909091	0.000000	0.722120	0.387668	0.803075	0.112523	0.656548	0.311894
5	18248	0.942857	1.036626	439.691726	0.084461	0.066878	1418.552741	1115.579809	136	128	0.909091	0.000000	0.749307	0.283726	0.704196	0.190212	0.737103	0.196854
6	19127	0.971429	1.025303	204.420021	0.053416	0.037279	984.475540	702.521043	169	165	0.818182	0.287480	0.621943	0.298190	0.638571	0.276141	0.657553	0.270474
7	21063	0.942857	1.048811	467.558645	0.110923	0.066081	1887.852822	1166.008007	109	98	0.909091	0.000000	0.671314	0.447449	0.696548	0.185224	0.507946	0.309290
8	21040	0.971429	1.022967	205.830434	0.048622	0.034631	856.807735	609.395496	107	106	0.909091	0.000000	0.679443	0.290820	0.684306	0.216290	0.546250	0.268026
9	21083	0.942857	1.032995	449.543069	0.070904	0.035373	1541.050981	752.889121	91	89	0.909091	0.000000	0.628443	0.384599	0.646190	0.277204	0.594500	0.393873
10	17239	0.971429	1.045141	208.835996	0.085194	0.049809	1820.242050	1150.659639	91	89	0.818182	0.287480	0.568066	0.346568	0.577143	0.270407	0.520540	0.349703
11	19908	0.971429	1.042851	106.037039	0.084754	0.039336	1465.879487	652.850621	124	122	0.909091	0.000000	0.720013	0.551861	0.695833	0.200741	0.692310	0.568163
12	21083	0.971429	1.028698	118.101966	0.064353	0.044905	1118.460710	766.603978	132	124	0.909091	0.000000	0.711149	0.356926	0.600056	0.270014	0.665741	0.242682
13	21106	0.942857	1.039511	447.659633	0.082326	0.050620	1489.566083	920.090726	190	177	0.909091	0.000000	0.671622	0.230877	0.863710	0.121095	0.836823	0.157422
14	16363	0.942857	1.036889	616.732182	0.070682	0.049303	1425.584924	1052.844610	89	86	0.818182	0.287480	0.613888	0.298406	0.587083	0.258135	0.592337	0.276033
