Tasks:40	Robots:12
Iteration	timeToScheduling	scheduledPercentage	fitnessExpected	fitnessObtained	energyExpected	energyObtained	timeExpected	timeObtained	payloadExpected	payloadObtained	meanNormEnergyE	stdNormEnergyE	meanNormEnergyO	stdNormEnergyO	meanNormPayloadE	stdNormPayloadE	meanNormPayloadO	stdNormPayloadO
0	25502	0.950000	1.037930	429.257444	0.090098	0.052577	1733.885947	985.052087	92	82	0.909091	0.000000	0.686904	0.254244	0.760579	0.242022	0.758515	0.312301
1	26480	0.975000	1.041409	203.631506	0.082683	0.050152	1472.893469	898.124511	125	120	0.909091	0.000000	0.576372	0.287198	0.627546	0.247406	0.550509	0.266944
2	26552	0.925000	1.047326	846.606561	0.104233	0.051978	1841.625955	904.944887	120	113	0.909091	0.000000	0.610234	0.428417	0.592847	0.180449	0.509722	0.336258
3	26561	0.950000	1.048768	449.117593	0.099008	0.056702	1882.809241	1050.392457	166	158	0.909091	0.000000	0.719581	0.428180	0.600387	0.189495	0.621181	0.347937
4	24368	0.950000	1.042104	436.813470	0.089542	0.064083	1593.097743	1127.365145	122	116	0.909091	0.000000	0.716620	0.204128	0.674048	0.204535	0.821274	0.433071
5	24522	0.975000	1.045322	207.661196	0.093466	0.052254	1800.628526	988.995443	146	144	0.833333	0.262432	0.553518	0.367775	0.717306	0.261784	0.540212	0.349324
6	26483	0.925000	1.044407	1306.920300	0.087185	0.061719	1555.981732	1098.157521	126	118	0.833333	0.262432	0.614725	0.298738	0.500728	0.260206	0.449608	0.273415
7	26468	1.000000	1.034815	1.009891	0.072118	0.042966	1398.446996	817.986405	139	139	0.909091	0.000000	0.593710	0.292780	0.628252	0.262416	0.523950	0.340857
8	26523	0.950000	1.035084	624.734970	0.071922	0.045510	1362.779405	835.059162	229	221	0.909091	0.000000	0.623277	0.332851	0.811299	0.148660	0.615443	0.304851
9	21872	0.925000	1.035133	1289.005359	0.083911	0.061856	1739.673596	1254.843210	90	87	0.909091	0.000000	0.717038	0.224003	0.627133	0.221005	0.644544	0.198480
10	26492	0.925000	1.037857	770.476694	0.082318	0.055939	1397.018216	945.254609	113	103	0.833333	0.262432	0.604404	0.392637	0.632639	0.334686	0.554745	0.448704
11	23651	0.975000	1.041729	204.246550	0.088202	0.064843	1587.555643	1181.243562	91	88	0.833333	0.262432	0.649630	0.292221	0.703671	0.342137	0.652282	0.338846
12	26560	0.925000	1.027031	497.644014	0.062564	0.042674	1406.991437	965.010742	126	112	0.909091	0.000000	0.622088	0.244872	0.749306	0.211676	0.690509	0.386220
13	21266	0.950000	1.059726	479.247862	0.118235	0.060607	2135.661670	1190.842403	106	104	0.909091	0.000000	0.661402	0.483887	0.676897	0.293457	0.593401	0.807181
14	23977	0.950000	1.035543	277.438819	0.074637	0.043439	1302.229225	799.314142	107	99	0.909091	0.000000	0.642646	0.377468	0.685509	0.209937	0.603395	0.654740
15	26388	0.975000	1.036712	208.098955	0.081561	0.052959	1512.433816	1023.997462	136	130	0.909091	0.000000	0.639743	0.295283	0.635304	0.225184	0.579332	0.274708
16	26501	0.975000	1.049445	204.555028	0.108024	0.060040	1993.323440	1117.767113	160	152	0.909091	0.000000	0.650909	0.347823	0.650255	0.165735	0.518899	0.299739
17	26493	0.950000	1.054173	615.083370	0.113851	0.083075	2271.461083	1656.625858	101	99	0.909091	0.000000	0.618346	0.318669	0.677778	0.267714	0.579722	0.380517
18	26578	1.000000	1.045462	1.010494	0.093463	0.048476	2017.483551	1005.329143	174	174	0.833333	0.262432	0.570695	0.354472	0.625507	0.251479	0.552770	0.305141
19	26558	0.950000	1.048278	468.905559	0.093206	0.045058	1545.732849	785.487572	107	105	0.909091	0.000000	0.753312	0.413373	0.616074	0.296609	0.656829	0.433832
20	26517	0.950000	1.038398	627.728339	0.081497	0.052885	1715.389217	1110.458698	126	124	0.909091	0.000000	0.772063	0.348283	0.700725	0.203115	0.521073	0.259361
21	26522	0.975000	1.039883	205.303911	0.075208	0.046183	1383.430457	866.789301	124	115	0.909091	0.000000	0.696786	0.410335	0.733871	0.228127	0.663153	0.200133
22	26535	0.975000	1.035674	206.680525	0.077088	0.049567	1338.605446	871.566535	132	129	0.833333	0.262432	0.625825	0.285096	0.564347	0.246570	0.567978	0.240235
23	26540	0.975000	1.042314	206.378770	0.083931	0.052452	1864.955839	1111.282890	141	133	0.833333	0.262432	0.590752	0.290601	0.553420	0.283845	0.539602	0.292557
24	26549	0.975000	1.031359	203.978956	0.065162	0.044070	1192.500970	820.607435	103	99	0.909091	0.000000	0.691958	0.195035	0.626356	0.209531	0.637180	0.322134
25	26451	0.975000	1.052421	107.914025	0.120335	0.060667	2244.156693	1147.030406	122	121	0.909091	0.000000	0.604719	0.299977	0.658796	0.218356	0.463861	0.284994
26	26513	0.925000	1.053228	1287.760669	0.107728	0.069419	2079.687133	1330.603175	122	115	0.833333	0.262432	0.606621	0.302143	0.603373	0.309043	0.614215	0.280695
27	26566	0.925000	1.044156	844.431351	0.103467	0.071910	1973.398833	1382.461540	149	139	0.833333	0.262432	0.731341	0.450320	0.590245	0.265464	0.807033	0.807780
28	26462	0.975000	1.033099	204.764711	0.072452	0.046808	1397.806971	854.685183	148	145	0.833333	0.262432	0.528009	0.352268	0.765278	0.282705	0.614848	0.391244
29	26504	0.950000	1.040321	613.164660	0.087092	0.062212	1843.530293	1387.967871	120	111	0.833333	0.262432	0.615728	0.301886	0.580787	0.311968	0.569722	0.327141
30	26482	1.000000	1.060445	1.018333	0.143986	0.088247	2493.327558	1569.727137	147	147	0.909091	0.000000	0.656710	0.229561	0.613657	0.224391	0.656539	0.234408
31	26406	0.975000	1.035871	203.202952	0.079184	0.049404	1358.726236	870.003946	170	164	0.909091	0.000000	0.671574	0.317239	0.662385	0.242795	0.582739	0.342797
32	23063	0.950000	1.045615	623.266862	0.103094	0.072532	1806.243258	1259.097650	153	150	0.833333	0.262432	0.616647	0.342661	0.641245	0.294305	0.552490	0.316941
33	26521	0.925000	1.027420	1031.352228	0.065649	0.046980	1316.225398	1007.838376	139	132	0.833333	0.262432	0.722661	0.454194	0.553627	0.309251	0.543171	0.324215
34	26539	1.000000	1.034619	1.014807	0.078284	0.053736	1446.284628	1008.667413	109	109	0.909091	0.000000	0.705784	0.250277	0.630357	0.257216	0.556829	0.310358
35	26502	0.950000	1.047122	453.837544	0.104097	0.067047	1919.216914	1224.160420	169	156	0.909091	0.000000	0.597004	0.272416	0.703784	0.119280	0.589187	0.233284
36	26452	0.975000	1.055258	208.725591	0.111467	0.075545	1994.359958	1352.812168	217	213	0.909091	0.000000	0.752895	0.298789	0.790751	0.147617	0.797135	0.177298
37	25947	0.975000	1.033511	106.226369	0.074394	0.047470	1409.916161	930.714444	160	156	0.909091	0.000000	0.723765	0.254963	0.665752	0.178011	0.750984	0.242880
38	26379	0.950000	1.038279	617.113789	0.077381	0.053259	1565.150954	1031.598536	174	162	0.909091	0.000000	0.622524	0.275358	0.637469	0.157719	0.589680	0.251355
39	26309	0.950000	1.032489	629.462932	0.071739	0.047820	1642.694439	1092.523355	118	114	0.833333	0.262432	0.634306	0.293819	0.558532	0.283704	0.564841	0.295627
40	26406	0.950000	1.045891	446.240366	0.083377	0.046789	1681.072090	921.306351	117	108	0.909091	0.000000	0.564268	0.280325	0.648606	0.211352	0.531903	0.247239
41	26619	0.900000	1.036982	1586.198811	0.085818	0.066427	1781.782763	1293.942504	158	143	0.909091	0.000000	0.614646	0.368730	0.740099	0.244906	0.715608	0.477869
42	26514	0.950000	1.040692	284.258537	0.088499	0.050632	1850.583608	1017.161938	109	106	0.909091	0.000000	0.653379	0.320393	0.741235	0.247749	0.718353	0.319126
43	26575	0.950000	1.047969	436.599355	0.099366	0.070482	2105.263340	1415.576904	98	94	0.909091	0.000000	0.716518	0.319012	0.780266	0.213576	0.800810	0.316061
44	26425	0.950000	1.037803	623.017260	0.096595	0.071763	1618.311029	1192.736988	186	175	0.909091	0.000000	0.703599	0.255812	0.764889	0.150475	0.763922	0.154910
45	26441	0.975000	1.039250	203.758189	0.089541	0.065458	1661.842484	1197.029126	116	112	0.909091	0.000000	0.730304	0.279833	0.603365	0.225966	0.593791	0.221457
46	26503	0.925000	1.051998	1001.909741	0.110368	0.073902	1951.547561	1280.529449	157	146	0.909091	0.000000	0.727628	0.314479	0.642978	0.190711	0.638825	0.237863
47	26348	0.950000	1.031248	441.448118	0.066048	0.043263	1443.360924	929.062229	174	163	0.909091	0.000000	0.619249	0.256993	0.667119	0.200283	0.567669	0.249841
48	26530	0.975000	1.042106	211.871952	0.090022	0.053304	1567.071324	939.220623	128	120	0.909091	0.000000	0.656580	0.336164	0.658763	0.245210	0.408212	0.280888
49	26499	0.950000	1.045397	621.502170	0.092500	0.058205	1626.897997	1010.881847	167	157	0.909091	0.000000	0.518603	0.410885	0.742584	0.130516	0.444196	0.370357
50	26325	0.950000	1.037937	424.660462	0.082271	0.055119	1532.951657	1029.185949	110	97	0.909091	0.000000	0.692676	0.217910	0.563228	0.177600	0.510516	0.297942
51	23211	0.950000	1.036763	439.147538	0.078948	0.056246	1583.062663	1070.757319	161	153	0.909091	0.000000	0.694592	0.270671	0.759595	0.131178	0.766898	0.166188
52	26491	0.975000	1.031752	203.875517	0.065756	0.047444	1306.128889	889.112722	109	108	0.833333	0.262432	0.703691	0.549448	0.579056	0.289966	0.493122	0.339576
53	26431	0.975000	1.074830	211.562501	0.142149	0.066322	2640.498586	1252.805496	110	105	0.909091	0.000000	0.741912	0.366883	0.632060	0.218590	0.399537	0.313309
54	26429	0.950000	1.044103	447.930180	0.094706	0.068881	1976.577152	1372.711195	132	125	0.909091	0.000000	0.722525	0.418701	0.723264	0.240925	0.616003	0.321179
