Tasks:10	Robots:4
Iteration	timeToScheduling	scheduledPercentage	fitnessExpected	fitnessObtained	energyExpected	energyObtained	timeExpected	timeObtained	payloadExpected	payloadObtained	meanNormEnergyE	stdNormEnergyE	meanNormEnergyO	stdNormEnergyO	meanNormPayloadE	stdNormPayloadE	meanNormPayloadO	stdNormPayloadO
0	1434	1.000000	1.008523	1.006696	0.017834	0.014829	373.790616	324.559819	51	51	0.681818	0.454545	0.547116	0.421881	0.614583	0.445366	0.593750	0.449247
1	1282	1.000000	1.005709	1.002829	0.009542	0.006451	182.747518	129.963931	24	24	0.681818	0.454545	0.498783	0.405921	0.548611	0.368776	0.523611	0.353652
2	1248	1.000000	1.008179	1.005256	0.015849	0.012921	285.260927	235.534809	88	88	0.909091	0.000000	0.752264	0.107772	0.981250	0.023936	0.983333	0.033333
3	1232	1.000000	1.011648	1.009305	0.021753	0.019410	430.188568	392.056220	28	28	0.454545	0.524864	0.382697	0.457211	0.366667	0.476095	0.366667	0.476095
4	1307	0.900000	1.010478	129.735359	0.023005	0.016646	483.789282	357.843991	33	31	0.909091	0.000000	0.638385	0.427574	0.833333	0.235702	0.702083	0.586435
5	1261	1.000000	1.004453	1.004453	0.010699	0.010699	218.482921	218.482921	69	69	0.681818	0.454545	0.681818	0.454545	0.643125	0.440952	0.643125	0.440952
6	1416	0.900000	1.010391	220.369457	0.021200	0.013979	477.716791	274.508567	35	33	0.681818	0.454545	0.533407	0.505560	0.487500	0.411271	0.539352	0.433927
7	1246	0.900000	1.008114	127.254666	0.016883	0.013165	360.105811	243.658683	54	50	0.909091	0.000000	0.765734	0.706950	0.875992	0.150702	0.664683	0.512427
8	1251	0.900000	1.022069	114.930617	0.049963	0.039608	783.781699	627.650870	31	28	0.909091	0.000000	0.795298	0.430884	0.684722	0.210983	0.705556	0.434471
9	1230	1.000000	1.007947	1.006582	0.015042	0.013672	329.022451	297.165161	39	39	0.909091	0.000000	0.863045	0.060044	0.795833	0.192630	0.766667	0.161589
10	2403	1.000000	1.008777	1.006883	0.020935	0.017374	373.941837	311.896871	27	27	0.909091	0.000000	0.832260	0.146633	0.883929	0.232143	0.904762	0.190476
11	1941	0.900000	1.012427	221.712372	0.031002	0.023256	534.620234	413.158809	44	40	0.909091	0.000000	0.597988	0.416057	0.854167	0.171796	0.750000	0.500000
12	1359	0.900000	1.008611	126.166335	0.016314	0.010652	351.079998	219.087714	37	35	0.909091	0.000000	0.783031	0.644873	0.906250	0.119678	0.704167	0.614693
13	1584	1.000000	1.010855	1.010855	0.029410	0.029410	541.450694	541.450694	57	57	0.909091	0.000000	0.909091	0.000000	0.871032	0.149798	0.871032	0.149798
14	1286	1.000000	1.009187	1.006947	0.023439	0.020878	386.217899	349.714851	37	37	0.681818	0.454545	0.640215	0.446767	0.494792	0.330883	0.505208	0.351244
15	1275	0.900000	1.009962	221.872587	0.019974	0.016763	430.068112	356.887178	66	60	0.909091	0.000000	0.606267	0.506325	0.858705	0.177045	0.599777	0.424089
16	1277	1.000000	1.004731	1.003196	0.011197	0.009611	238.094897	209.036229	26	26	0.681818	0.454545	0.599905	0.415446	0.513889	0.409192	0.484375	0.409443
17	1264	1.000000	1.023178	1.019426	0.044947	0.040839	859.912497	783.704721	60	60	0.909091	0.000000	0.851275	0.074875	0.788426	0.174391	0.761111	0.170873
18	1270	0.900000	1.005330	133.144900	0.013658	0.010430	301.476488	237.462712	30	28	0.909091	0.000000	0.772604	0.450816	0.729861	0.206197	0.756250	0.296068
19	1262	0.900000	1.012543	218.388336	0.028494	0.027590	562.088230	562.100295	39	30	0.909091	0.000000	0.839502	0.300375	0.787500	0.165202	0.720833	0.246221
20	1265	1.000000	1.007795	1.005829	0.017322	0.015025	311.144144	269.371950	27	27	0.681818	0.454545	0.637706	0.433614	0.589286	0.445594	0.578869	0.448853
21	2355	1.000000	1.007121	1.004212	0.014361	0.009585	308.199456	197.491761	38	38	0.909091	0.000000	0.681818	0.454545	0.833333	0.235702	0.608333	0.437480
22	1258	0.900000	1.005147	217.543527	0.010472	0.007925	238.665378	194.950724	27	25	0.909091	0.000000	0.764427	0.679143	0.666667	0.242956	0.421875	0.336089
23	1255	0.900000	1.004090	122.211111	0.011218	0.009068	265.814216	215.084211	21	20	0.681818	0.454545	0.571852	0.400565	0.647321	0.447113	0.699405	0.545837
24	1253	1.000000	1.009560	1.004367	0.021609	0.015060	382.049496	260.282783	16	16	0.909091	0.000000	0.723150	0.359946	0.843750	0.312500	0.843750	0.312500
25	1306	1.000000	1.005967	1.004810	0.014781	0.013670	241.220725	223.557717	25	25	0.909091	0.000000	0.872433	0.068679	0.843750	0.312500	0.843750	0.312500
26	1304	1.000000	1.014682	1.010647	0.027265	0.023254	505.809546	434.037888	65	65	0.909091	0.000000	0.783882	0.189407	0.875000	0.102062	0.854167	0.110240
27	1463	0.900000	1.007713	219.571465	0.018449	0.019078	305.926090	314.217233	24	22	0.909091	0.000000	0.841255	0.513745	0.820833	0.212296	0.806250	0.223956
28	2401	1.000000	1.012170	1.007323	0.028451	0.021088	482.753622	372.871661	38	38	0.909091	0.000000	0.798696	0.195374	0.661706	0.231191	0.688095	0.252471
29	1276	1.000000	1.011187	1.006259	0.029299	0.022213	636.166787	466.324419	31	31	0.681818	0.454545	0.597510	0.428712	0.522222	0.421051	0.523611	0.417675
30	1668	1.000000	1.016821	1.014199	0.032281	0.029836	616.738810	573.074724	77	77	0.909091	0.000000	0.801649	0.214884	0.909722	0.069444	0.897222	0.073807
31	2402	1.000000	1.010921	1.009227	0.021721	0.019560	436.971464	384.469003	59	59	0.909091	0.000000	0.834619	0.250481	0.896429	0.119736	0.890476	0.127420
32	1228	1.000000	1.008629	1.002381	0.016572	0.009539	295.878698	153.802853	34	34	0.909091	0.000000	0.560216	0.399718	0.642361	0.250096	0.303472	0.235084
33	1973	0.900000	1.009869	221.106810	0.019208	0.013140	379.519181	263.538693	80	70	0.681818	0.454545	0.523207	0.360596	0.617778	0.413274	0.640278	0.427727
34	1524	0.900000	1.011815	221.874528	0.022234	0.013832	475.292323	275.589641	66	59	0.909091	0.000000	0.612160	0.412870	0.895833	0.072169	0.854167	0.110240
35	1265	1.000000	1.007190	1.003411	0.016711	0.012932	298.513114	228.027188	27	27	0.909091	0.000000	0.761824	0.170358	0.869048	0.123718	0.869048	0.123718
36	1915	1.000000	1.008917	1.005686	0.017634	0.014102	381.414202	302.617196	15	15	0.909091	0.000000	0.769761	0.125474	0.625000	0.322749	0.645833	0.335927
37	1275	0.900000	1.009956	217.242580	0.020668	0.012371	457.244300	279.148638	56	49	0.681818	0.454545	0.457082	0.336526	0.620833	0.432290	0.597917	0.424285
38	1438	1.000000	1.011088	1.004456	0.020732	0.013619	442.239080	280.226007	47	47	0.909091	0.000000	0.700431	0.286621	0.760913	0.193114	0.731151	0.180294
39	2185	1.000000	1.009385	1.004864	0.019207	0.013380	460.093063	304.013944	27	27	0.909091	0.000000	0.767531	0.222206	0.740179	0.314007	0.650595	0.291822
40	1270	1.000000	1.008036	1.006268	0.016301	0.014437	359.273395	315.139463	19	19	0.909091	0.000000	0.857085	0.106625	0.895833	0.208333	0.916667	0.166667
41	1319	1.000000	1.012967	1.005631	0.023886	0.016652	549.087885	398.451892	64	64	0.909091	0.000000	0.721224	0.218045	0.932292	0.098271	0.929688	0.103251
42	1273	1.000000	1.019728	1.013661	0.037511	0.031444	846.328008	701.104468	46	46	0.909091	0.000000	0.863804	0.090573	0.803571	0.243102	0.803571	0.243102
43	1281	0.900000	1.017399	117.148758	0.036350	0.027189	656.273242	492.368885	41	39	0.909091	0.000000	0.751542	0.221124	0.875000	0.083333	0.916667	0.225668
44	1260	0.900000	1.015000	115.954818	0.032816	0.025805	729.301318	605.483888	29	28	0.909091	0.000000	0.852177	0.205710	0.760714	0.276857	0.877976	0.321263
