Tasks:25	Robots:7
Iteration	timeToScheduling	scheduledPercentage	fitnessExpected	fitnessObtained	energyExpected	energyObtained	timeExpected	timeObtained	payloadExpected	payloadObtained	meanNormEnergyE	stdNormEnergyE	meanNormEnergyO	stdNormEnergyO	meanNormPayloadE	stdNormPayloadE	meanNormPayloadO	stdNormPayloadO
0	11082	0.920000	1.022424	449.980342	0.049835	0.042736	1123.690644	906.269956	72	66	0.909091	0.000000	0.849355	0.187165	0.709683	0.176476	0.793084	0.565273
1	7920	0.960000	1.027336	204.577263	0.056810	0.040715	1071.310262	768.569080	79	75	0.909091	0.000000	0.719209	0.134897	0.631032	0.269899	0.614683	0.287607
2	11087	0.960000	1.032497	208.014807	0.064989	0.033927	1067.305364	593.522539	103	99	0.909091	0.000000	0.732969	0.272195	0.844048	0.172718	0.819615	0.212835
3	11112	0.920000	1.015214	352.111367	0.031879	0.023336	594.839664	407.490076	87	85	0.909091	0.000000	0.714613	0.264640	0.738776	0.183285	1.047959	0.797642
4	11082	0.960000	1.034013	112.816154	0.070711	0.035185	1365.070321	677.213886	92	91	0.909091	0.000000	0.590340	0.318623	0.686168	0.263966	0.690370	0.418944
5	9179	0.920000	1.023123	471.803012	0.045558	0.026618	1042.957676	531.992634	64	62	0.909091	0.000000	0.746625	0.489470	0.729762	0.137256	0.596429	0.353614
6	8036	0.960000	1.032632	105.877980	0.067390	0.049179	1214.090335	901.117053	85	84	0.779221	0.343604	0.640165	0.359084	0.674887	0.338956	0.683815	0.503520
7	10780	0.960000	1.019114	208.917035	0.042229	0.028776	724.078448	492.486241	120	113	0.909091	0.000000	0.655228	0.310263	0.719855	0.207584	0.509056	0.237042
8	11065	1.000000	1.022120	1.008035	0.040562	0.024970	771.803636	483.499221	119	119	0.909091	0.000000	0.610515	0.325508	0.783294	0.215946	0.614187	0.345427
9	8000	1.000000	1.017595	1.005931	0.036688	0.020161	741.736950	368.658418	104	104	0.909091	0.000000	0.603889	0.359083	0.778571	0.194059	0.653401	0.331548
10	11076	0.960000	1.022557	110.858294	0.047260	0.036937	986.267006	759.164302	87	86	0.779221	0.343604	0.632301	0.310185	0.574206	0.292467	0.503472	0.248206
11	10769	1.000000	1.034458	1.019429	0.072535	0.056902	1333.598330	1073.979604	70	70	0.909091	0.000000	0.767569	0.148909	0.670295	0.247291	0.706689	0.261220
12	11082	0.960000	1.018334	111.099178	0.040872	0.026597	860.795498	523.716784	128	122	0.909091	0.000000	0.698453	0.393977	0.771190	0.152038	0.697778	0.326273
13	11086	0.960000	1.022276	116.174417	0.042667	0.027078	832.783942	510.255952	73	72	0.909091	0.000000	0.558448	0.356676	0.608333	0.281863	0.405291	0.240321
14	6682	1.000000	1.020719	1.008278	0.045078	0.032745	799.251959	557.705016	63	63	0.909091	0.000000	0.702539	0.208752	0.773810	0.184556	0.753571	0.197429
15	7262	0.960000	1.026969	204.249506	0.059675	0.040793	1140.427261	761.277525	90	86	0.649351	0.443591	0.499086	0.396642	0.513136	0.392843	0.474988	0.393085
16	7709	0.960000	1.030642	206.600986	0.071343	0.053623	1213.223952	955.382693	89	87	0.909091	0.000000	0.752957	0.307305	0.729847	0.201226	0.708092	0.142356
17	11081	0.920000	1.018563	670.962005	0.038594	0.028942	808.602062	588.994738	78	73	0.909091	0.000000	0.657988	0.366111	0.691667	0.246117	0.524339	0.302466
18	9684	0.920000	1.029357	443.221250	0.067469	0.049254	1146.954659	870.415717	104	94	0.779221	0.343604	0.685574	0.342333	0.553605	0.305277	0.683418	0.622965
19	7620	0.920000	1.016470	435.730888	0.040811	0.034009	774.567206	655.110691	75	72	0.779221	0.343604	0.655443	0.360111	0.541991	0.364133	0.623016	0.638530
20	9033	0.960000	1.023585	206.826002	0.043447	0.029326	832.939246	579.886770	42	41	0.909091	0.000000	0.667228	0.169497	0.871032	0.145384	0.845238	0.206540
21	7991	0.880000	1.035247	1099.522009	0.086641	0.066558	1871.695518	1414.228986	95	81	0.909091	0.000000	0.960440	0.897491	0.606378	0.206264	0.626769	0.198665
22	8249	0.960000	1.017959	118.544285	0.039682	0.027114	813.020942	564.835711	64	62	0.909091	0.000000	0.674263	0.247824	0.647251	0.209655	0.691100	0.510278
23	6972	0.960000	1.022391	203.713242	0.056378	0.048093	1099.569330	969.310280	120	117	0.909091	0.000000	0.747524	0.337478	0.691323	0.231666	0.594926	0.305377
24	9810	0.920000	1.023422	447.914835	0.042899	0.027568	925.008011	582.023390	94	88	0.909091	0.000000	0.631636	0.164055	0.667800	0.183006	0.712963	0.256170
25	11058	1.000000	1.024948	1.006062	0.046436	0.025708	960.224743	540.619355	76	76	0.909091	0.000000	0.590339	0.318637	0.606689	0.231547	0.573243	0.351981
26	11080	0.920000	1.029798	526.974247	0.062736	0.044443	1192.782585	819.025621	78	73	0.909091	0.000000	0.817941	0.399860	0.750652	0.245875	0.648696	0.339050
27	7990	0.960000	1.036463	109.727743	0.074172	0.047966	1289.180702	846.393167	73	70	0.909091	0.000000	0.682084	0.288933	0.693622	0.211946	0.765306	0.421982
28	11060	0.960000	1.024599	225.097127	0.053037	0.024997	1032.135029	538.553144	77	76	0.909091	0.000000	0.667552	0.491670	0.696429	0.228302	0.430230	0.350501
29	8169	0.960000	1.019816	118.049055	0.045311	0.030827	980.318171	593.842603	79	77	0.909091	0.000000	0.772220	0.283980	0.800808	0.225131	0.846736	0.443510
30	8555	0.920000	1.017897	643.992888	0.036796	0.026661	793.029276	546.956718	109	102	0.909091	0.000000	0.801135	0.513390	0.689512	0.217478	0.537457	0.281826
31	11065	0.920000	1.032523	483.032952	0.068235	0.035866	1190.848484	642.004207	113	99	0.909091	0.000000	0.648148	0.274571	0.741667	0.138087	0.722222	0.163243
32	6519	0.960000	1.036099	219.874246	0.082117	0.063500	1341.660952	1049.205921	73	68	0.779221	0.343604	0.639277	0.333735	0.491270	0.292461	0.449320	0.243819
33	7895	0.920000	1.025487	541.611237	0.055771	0.037958	1241.477035	777.550141	64	58	0.909091	0.000000	0.681582	0.270062	0.873333	0.169411	1.032381	0.547322
34	6952	0.880000	1.017721	1081.953225	0.041217	0.036885	753.593520	688.428888	80	76	0.909091	0.000000	0.754039	0.301290	0.685119	0.229939	0.835935	0.455171
35	6691	1.000000	1.047556	1.020059	0.105327	0.073748	1752.346604	1236.081659	130	130	0.909091	0.000000	0.767408	0.203315	0.793999	0.167125	0.815411	0.188844
36	11079	0.960000	1.024995	207.194243	0.052964	0.035122	892.752996	595.139490	79	74	0.779221	0.343604	0.634243	0.359903	0.646712	0.328956	0.614938	0.346357
37	7288	0.960000	1.023339	207.476470	0.051291	0.036081	858.347392	623.888348	75	73	0.909091	0.000000	0.735265	0.157030	0.622109	0.257887	0.638690	0.256295
38	10451	0.960000	1.042184	207.877910	0.082389	0.046492	1362.742086	770.619961	70	68	0.909091	0.000000	0.638549	0.310324	0.791525	0.159701	0.682143	0.329928
39	7643	0.960000	1.021804	206.355449	0.043025	0.026187	789.740396	450.678733	94	89	0.909091	0.000000	0.521385	0.378047	0.669090	0.192793	0.348980	0.298869
40	11059	0.960000	1.031836	107.221569	0.058166	0.029574	955.792242	491.124376	135	131	0.909091	0.000000	0.651360	0.371404	0.818360	0.132550	1.052870	1.330700
41	7664	0.960000	1.021078	204.860242	0.042384	0.031048	813.095537	577.191410	71	68	0.909091	0.000000	0.715281	0.253661	0.689512	0.233268	0.676587	0.272552
42	11080	0.960000	1.039526	209.333890	0.081122	0.050124	1409.986038	864.312182	142	137	0.909091	0.000000	0.622465	0.295759	0.851701	0.184861	0.850000	0.177169
43	11078	0.960000	1.017000	204.630199	0.042144	0.031104	809.561915	603.614049	77	73	0.909091	0.000000	0.745188	0.191405	0.556878	0.292279	0.489286	0.286908
44	10941	0.960000	1.025835	215.265489	0.061758	0.043808	1165.604729	870.235068	64	60	0.909091	0.000000	0.742779	0.261631	0.741071	0.182359	0.635119	0.182477
45	11083	0.920000	1.019479	643.208524	0.039189	0.027304	724.271038	500.728767	159	149	0.909091	0.000000	0.628795	0.168678	0.824754	0.107313	0.814191	0.099865
46	11091	0.920000	1.023074	443.933401	0.050187	0.039127	852.004865	653.541945	61	53	0.909091	0.000000	0.680596	0.134151	0.773810	0.313693	0.792063	0.244192
47	8914	0.960000	1.022944	206.306977	0.049948	0.031418	888.934527	578.760508	47	38	0.909091	0.000000	0.667023	0.242534	0.710317	0.290388	0.657738	0.262383
48	11062	1.000000	1.029503	1.005953	0.058907	0.034143	1168.696164	678.150455	45	45	0.909091	0.000000	0.697216	0.263735	0.700113	0.248406	0.642375	0.249348
49	7676	0.960000	1.018930	110.399252	0.042738	0.025685	804.551634	518.919223	91	88	0.909091	0.000000	0.701626	0.338585	0.701905	0.239371	0.777381	0.278335
50	7483	1.000000	1.031791	1.009197	0.067490	0.033111	1179.751747	598.611183	62	62	0.909091	0.000000	0.612459	0.375861	0.583995	0.211961	0.571429	0.361388
51	11097	0.920000	1.016830	463.555462	0.040135	0.032489	757.822211	605.016545	159	146	0.909091	0.000000	0.728305	0.242249	0.836878	0.133221	0.836508	0.144439
52	7147	0.960000	1.028475	206.503175	0.057601	0.039380	978.914600	666.301377	137	128	0.649351	0.443591	0.477910	0.377210	0.554082	0.383177	0.536599	0.375476
53	11078	0.960000	1.026395	126.981425	0.051336	0.032795	1055.796464	698.512712	73	66	0.909091	0.000000	0.683770	0.245846	0.608968	0.308036	0.725488	0.765587
54	7511	0.960000	1.013184	208.635474	0.030735	0.023225	503.659349	381.138767	125	121	0.909091	0.000000	0.638546	0.359356	0.836310	0.141395	0.693339	0.326708
55	7302	0.960000	1.024728	107.558077	0.054312	0.034945	1089.232574	733.623345	96	95	0.909091	0.000000	0.638237	0.332060	0.814966	0.199535	0.704671	0.626871
