Tasks:30	Robots:9
Iteration	timeToScheduling	scheduledPercentage	fitnessExpected	fitnessObtained	energyExpected	energyObtained	timeExpected	timeObtained	payloadExpected	payloadObtained	meanNormEnergyE	stdNormEnergyE	meanNormEnergyO	stdNormEnergyO	meanNormPayloadE	stdNormPayloadE	meanNormPayloadO	stdNormPayloadO
0	14972	0.966667	1.023286	204.702138	0.052024	0.034580	1144.084022	750.804213	75	73	0.808081	0.303030	0.622184	0.344356	0.646032	0.293671	0.632606	0.295278
1	13332	0.966667	1.023927	109.138098	0.048931	0.029784	1058.025569	630.510356	157	153	0.909091	0.000000	0.619730	0.328990	0.770522	0.145615	0.566961	0.252236
2	12237	1.000000	1.029452	1.012626	0.064953	0.044997	1394.676817	997.895231	84	84	0.909091	0.000000	0.717048	0.260900	0.646481	0.255319	0.630093	0.238282
3	15622	0.933333	1.039801	646.527782	0.077919	0.059277	1489.590045	1170.000955	103	94	0.909091	0.000000	0.646467	0.338247	0.591523	0.202996	0.456790	0.203111
4	12250	0.966667	1.035007	205.472514	0.073800	0.047288	1368.937325	934.587880	118	116	0.909091	0.000000	0.688290	0.208077	0.679713	0.189555	0.672425	0.206267
5	11418	0.966667	1.020119	205.864284	0.038718	0.030728	755.857525	558.978671	106	104	0.909091	0.000000	0.712277	0.432471	0.830093	0.105939	0.724669	0.327361
6	12879	0.966667	1.028708	205.024909	0.060183	0.037493	1138.314837	696.388011	67	66	0.909091	0.000000	0.655823	0.276527	0.649537	0.226235	0.659722	0.230225
7	14480	1.000000	1.035206	1.018365	0.071463	0.050670	1505.331386	1033.211660	168	168	0.909091	0.000000	0.746705	0.245036	0.779475	0.140109	0.781790	0.217236
8	11116	0.966667	1.028365	204.506671	0.059048	0.030700	1085.388683	582.237173	81	79	0.808081	0.303030	0.477685	0.395038	0.591138	0.315321	0.460440	0.370914
9	15581	0.966667	1.031482	113.620841	0.060580	0.029667	1115.305357	598.559451	104	99	0.909091	0.000000	0.598970	0.355702	0.774537	0.153383	0.542504	0.364876
10	12862	0.966667	1.025343	206.049910	0.052805	0.033449	1066.073248	706.537337	101	94	0.909091	0.000000	0.638832	0.341602	0.666931	0.264357	0.586318	0.269092
11	15627	0.933333	1.018702	442.523296	0.038436	0.027372	859.439011	572.539072	63	59	0.909091	0.000000	0.791353	0.308968	0.753682	0.211932	0.724956	0.321824
12	15650	0.933333	1.040216	449.549040	0.084969	0.048513	1491.664318	872.856629	91	88	0.909091	0.000000	0.627160	0.329949	0.669640	0.270721	0.572722	0.376181
13	13117	1.000000	1.032662	1.011878	0.064927	0.038171	1252.145516	724.889583	65	65	0.909091	0.000000	0.589911	0.339119	0.726073	0.234431	0.625882	0.307141
14	15652	0.966667	1.040140	112.163399	0.082860	0.051942	1713.663617	1034.557973	195	191	0.909091	0.000000	0.632813	0.305936	0.846605	0.152663	0.726543	0.310885
15	10687	0.933333	1.034262	452.754149	0.076387	0.058901	1418.611002	1049.707167	103	97	0.808081	0.303030	0.677588	0.341421	0.705291	0.297954	0.716138	0.335739
16	15633	0.933333	1.043386	491.556775	0.092294	0.073432	1772.911383	1326.423006	114	109	0.808081	0.303030	0.673558	0.392456	0.677102	0.295464	0.684597	0.359479
17	15587	0.966667	1.030142	112.461048	0.065841	0.036185	1140.719503	635.467973	152	146	0.909091	0.000000	0.717681	0.302155	0.812130	0.167424	0.706900	0.309112
18	15640	0.966667	1.035897	211.448842	0.083806	0.056507	1426.117777	958.963011	111	107	0.909091	0.000000	0.612906	0.269936	0.629810	0.199264	0.556578	0.311161
19	15592	0.966667	1.020399	206.399779	0.046967	0.032025	855.876743	574.067818	93	89	0.808081	0.303030	0.562728	0.338416	0.663580	0.310442	0.547178	0.376534
20	11677	0.966667	1.025594	204.113466	0.054552	0.034754	1220.718203	731.786405	96	95	0.909091	0.000000	0.601728	0.317679	0.609311	0.227934	0.559774	0.275221
21	15668	0.933333	1.030973	455.816306	0.067965	0.052228	1325.302521	1007.523149	114	111	0.808081	0.303030	0.673222	0.541131	0.678571	0.330116	0.612937	0.595906
22	15616	0.966667	1.027294	114.146303	0.055977	0.028772	977.949072	532.862137	117	114	0.808081	0.303030	0.519697	0.449758	0.669596	0.315438	0.510251	0.411786
23	15436	0.933333	1.028557	245.205565	0.061329	0.043145	1302.465780	874.528373	77	67	0.909091	0.000000	0.755889	0.238166	0.755015	0.110492	0.799074	0.249529
24	15560	0.966667	1.034431	206.121412	0.068345	0.040726	1315.532510	737.626443	49	48	0.909091	0.000000	0.554130	0.274222	0.749449	0.298154	0.594797	0.346867
25	15644	1.000000	1.035816	1.016264	0.075130	0.043397	1418.487539	821.956731	134	134	0.909091	0.000000	0.720541	0.268092	0.729869	0.230810	0.677734	0.218942
26	12199	0.966667	1.045563	204.451333	0.089590	0.052593	1486.768004	891.702882	83	82	0.909091	0.000000	0.639873	0.319827	0.682011	0.241884	0.542976	0.331573
27	11303	0.933333	1.022022	648.680515	0.048024	0.030029	950.101103	612.477744	70	66	0.909091	0.000000	0.581730	0.391260	0.573909	0.237992	0.449853	0.303780
28	12442	1.000000	1.041666	1.012073	0.088132	0.051311	1705.891962	994.399917	115	115	0.808081	0.303030	0.573650	0.312500	0.610494	0.253166	0.555298	0.243541
29	12255	0.966667	1.026763	211.200683	0.053760	0.037812	1056.711809	687.523952	114	110	0.909091	0.000000	0.766310	0.338949	0.657443	0.154872	0.454462	0.269140
30	13641	0.966667	1.055943	205.075039	0.112086	0.059139	1903.110903	1016.961080	66	64	0.909091	0.000000	0.645639	0.276549	0.733862	0.207993	0.801235	0.243460
31	14391	0.933333	1.032641	301.294795	0.064288	0.033472	1241.194682	655.611054	102	84	0.909091	0.000000	0.716730	0.541824	0.680908	0.245833	0.539991	0.297608
32	12268	1.000000	1.043321	1.015594	0.089112	0.053620	1563.971190	923.551389	126	126	0.909091	0.000000	0.769312	0.203026	0.728858	0.166325	0.764383	0.135306
33	10579	0.966667	1.023282	205.170624	0.049182	0.035619	938.695287	682.001915	129	127	0.808081	0.303030	0.547222	0.362615	0.538580	0.252073	0.496852	0.308872
34	12643	0.933333	1.025205	473.343487	0.059595	0.038441	1199.649305	773.156599	101	95	0.909091	0.000000	0.654129	0.379088	0.725514	0.186965	0.624280	0.308716
35	11693	0.966667	1.023913	205.892522	0.049188	0.030571	952.177804	584.982361	105	103	0.909091	0.000000	0.649485	0.337450	0.735000	0.190401	0.604630	0.310956
36	12711	0.966667	1.034469	213.234862	0.067088	0.033944	1254.259585	690.027957	113	108	0.808081	0.303030	0.601686	0.363102	0.616182	0.281274	0.526987	0.350621
37	12651	0.966667	1.055573	206.798525	0.111111	0.084192	1884.494905	1411.782222	129	126	0.909091	0.000000	0.764079	0.196236	0.844506	0.198258	0.850864	0.183664
38	15633	1.000000	1.031916	1.014377	0.065110	0.045043	1241.011979	843.218581	118	118	0.909091	0.000000	0.725808	0.230384	0.653538	0.183359	0.632892	0.229335
39	11208	0.966667	1.037657	212.377959	0.070931	0.044508	1428.496683	891.853203	81	79	0.909091	0.000000	0.685858	0.227967	0.582510	0.233875	0.595767	0.218953
40	15667	0.933333	1.028851	614.603969	0.062796	0.034859	1276.728973	640.139803	105	95	0.808081	0.303030	0.522412	0.341046	0.517702	0.293237	0.358122	0.220913
41	15585	1.000000	1.025366	1.005505	0.054121	0.029106	1002.810847	566.226760	157	157	0.808081	0.303030	0.518500	0.369493	0.678924	0.259364	0.534325	0.312298
42	15645	0.966667	1.020363	116.328683	0.045166	0.030463	828.231444	581.401612	131	126	0.909091	0.000000	0.675099	0.384454	0.747222	0.234669	0.598233	0.299297
43	15615	0.966667	1.028326	122.503846	0.065899	0.045054	1201.333933	839.159733	86	78	0.909091	0.000000	0.781762	0.612547	0.555225	0.283378	0.451690	0.337863
44	15632	0.966667	1.030812	106.780130	0.063265	0.042295	1170.960350	786.130154	72	69	0.909091	0.000000	0.693755	0.230739	0.707725	0.260182	0.652310	0.299247
45	13978	0.966667	1.029946	209.103249	0.061039	0.037393	1162.285723	738.187229	117	115	0.909091	0.000000	0.687285	0.316296	0.746759	0.142853	0.602963	0.236309
46	12148	1.000000	1.022246	1.007601	0.045648	0.028483	854.268855	588.111925	110	110	0.909091	0.000000	0.632716	0.348144	0.551080	0.262025	0.471680	0.316422
47	15609	0.900000	1.038317	1091.271892	0.078851	0.058215	1424.304131	1025.358478	138	122	0.808081	0.303030	0.592132	0.288373	0.642202	0.311054	0.677109	0.329247
48	11536	0.966667	1.037301	112.287837	0.073234	0.041174	1610.997553	913.884245	96	90	0.909091	0.000000	0.707448	0.309991	0.666182	0.268380	0.635406	0.326570
49	15605	1.000000	1.023117	1.005467	0.045993	0.025963	898.632876	519.553640	99	99	0.808081	0.303030	0.489799	0.336599	0.636790	0.296652	0.551852	0.357867
50	15607	0.966667	1.025156	206.897004	0.059242	0.040085	1078.453573	720.978524	126	124	0.909091	0.000000	0.641889	0.308810	0.747553	0.167125	0.634259	0.291376
51	13459	0.900000	1.034671	692.176961	0.068870	0.047626	1452.780993	997.326457	109	92	0.909091	0.000000	0.566548	0.350061	0.741689	0.196770	0.628704	0.489670
52	15609	1.000000	1.035989	1.012641	0.070739	0.037519	1320.119042	741.388309	98	98	0.909091	0.000000	0.573859	0.387327	0.734965	0.206813	0.456658	0.335488
53	14439	0.966667	1.036540	109.249134	0.074739	0.036554	1503.245562	749.403757	103	102	0.808081	0.303030	0.541162	0.509052	0.661728	0.314542	0.507378	0.624463
54	15620	0.900000	1.022550	1017.931359	0.054010	0.040286	1057.462932	797.978486	85	73	0.909091	0.000000	0.819260	0.274635	0.643184	0.243155	0.627072	0.239773
55	13376	1.000000	1.040110	1.015770	0.088904	0.057242	1689.041903	1130.345885	109	109	0.909091	0.000000	0.638963	0.337557	0.660905	0.173831	0.605445	0.287938
56	14911	0.966667	1.032365	124.100510	0.068724	0.042141	1330.350164	799.987028	91	90	0.909091	0.000000	0.593662	0.422132	0.722840	0.221360	0.680864	0.773406
57	15631	0.933333	1.039031	440.833327	0.081213	0.056032	1455.000768	1044.142066	110	104	0.909091	0.000000	0.725986	0.171682	0.682672	0.257985	0.769004	0.261715
58	14282	0.966667	1.029978	107.264185	0.061702	0.041739	1093.779951	767.302593	168	161	0.808081	0.303030	0.631599	0.295268	0.704703	0.299053	0.745601	0.431104
59	15583	0.966667	1.027137	204.128490	0.057648	0.043568	1193.521763	892.160716	96	88	0.808081	0.303030	0.615047	0.285566	0.623633	0.341489	0.541931	0.292101
60	15603	0.933333	1.022589	438.044253	0.047796	0.029478	976.454615	594.100745	118	106	0.909091	0.000000	0.698460	0.288633	0.714848	0.156665	0.789550	0.395260
61	15608	0.933333	1.044877	426.030852	0.088180	0.066274	1553.656875	1162.614748	104	97	0.808081	0.303030	0.632414	0.338058	0.608095	0.309832	0.555159	0.308505
62	15331	0.933333	1.026437	628.493269	0.059387	0.043270	1243.681322	911.218303	147	138	0.909091	0.000000	0.746816	0.183271	0.771429	0.174952	0.789080	0.154365
63	15625	0.933333	1.029964	494.517992	0.063460	0.050255	1165.225113	863.042266	121	115	0.808081	0.303030	0.689683	0.429352	0.726058	0.297196	0.675265	0.304576
64	15635	0.933333	1.035113	480.917519	0.078719	0.053223	1385.369165	956.569129	104	93	0.909091	0.000000	0.702450	0.253496	0.728086	0.155006	1.053086	1.298097
65	13207	0.966667	1.032524	204.259869	0.059450	0.038122	1128.600955	727.312178	90	87	0.909091	0.000000	0.583376	0.307172	0.680658	0.202607	0.614550	0.277456
66	13742	0.966667	1.034832	105.656708	0.077568	0.050759	1456.021400	946.497808	134	127	0.808081	0.303030	0.607108	0.377892	0.680489	0.288423	0.613029	0.397002
67	11021	0.966667	1.027331	105.710702	0.062345	0.044312	1083.871990	771.200307	88	84	0.909091	0.000000	0.626429	0.316887	0.731959	0.272895	0.640388	0.401324
68	15661	0.966667	1.024904	114.462620	0.050181	0.034964	951.341881	633.859387	131	124	0.909091	0.000000	0.639006	0.358880	0.753095	0.154928	0.644907	0.312026
69	15687	0.933333	1.030197	654.682659	0.063137	0.048998	1054.985796	822.735457	151	145	0.808081	0.303030	0.546031	0.322268	0.620139	0.292077	0.676521	0.282467
70	14073	0.900000	1.041684	974.889459	0.083272	0.049852	1760.036222	1007.006795	127	118	0.909091	0.000000	0.684030	0.290326	0.732675	0.191705	0.792372	0.607537
71	14795	0.933333	1.040234	455.193371	0.081223	0.051196	1405.206573	880.957405	82	77	0.909091	0.000000	0.681048	0.204621	0.858333	0.153093	0.933148	0.624086
72	11724	0.966667	1.022822	204.449647	0.044818	0.033137	898.460831	645.284276	83	78	0.808081	0.303030	0.692430	0.501761	0.631878	0.303245	0.523633	0.272956
73	13173	0.933333	1.038081	222.727183	0.082470	0.056033	1643.772235	1099.935156	118	111	0.909091	0.000000	0.782285	0.467790	0.667515	0.237136	0.768704	0.403478
74	15620	0.966667	1.025699	119.949736	0.055259	0.031573	1131.772784	660.657602	84	81	0.909091	0.000000	0.673119	0.338582	0.748016	0.150761	0.793188	0.695286
75	15122	0.966667	1.019732	107.035720	0.048157	0.036553	868.747069	659.354983	69	66	0.909091	0.000000	0.759623	0.139927	0.669444	0.173004	0.673148	0.277694
76	15596	1.000000	1.033328	1.011005	0.065974	0.039654	1365.432043	861.897037	113	113	0.808081	0.303030	0.584489	0.367800	0.680710	0.309099	0.557445	0.359598
77	11887	1.000000	1.018912	1.004243	0.037716	0.019122	769.828375	438.201484	171	171	0.808081	0.303030	0.572074	0.401666	0.711199	0.304754	0.627778	0.393379
78	15656	0.933333	1.033562	462.992346	0.068990	0.046216	1277.070433	819.854784	87	73	0.909091	0.000000	0.526218	0.350070	0.691138	0.321104	0.769365	0.898362
79	15629	0.933333	1.028297	529.243444	0.066444	0.055589	1162.728861	965.921223	108	103	0.909091	0.000000	0.769805	0.266753	0.640437	0.172151	0.761420	0.419404
80	15614	0.933333	1.034739	257.480035	0.076020	0.055138	1457.741145	1080.298983	100	93	0.909091	0.000000	0.745054	0.178274	0.695062	0.201795	0.723765	0.228053
81	13081	0.966667	1.030754	205.677629	0.063249	0.036343	1208.667364	713.394515	111	104	0.909091	0.000000	0.582930	0.211806	0.698071	0.166465	0.639198	0.214314
82	13179	0.966667	1.025933	203.738911	0.050014	0.030891	1018.143989	639.305796	117	116	0.909091	0.000000	0.556901	0.393566	0.669213	0.197823	0.470701	0.314872
83	15674	0.933333	1.022728	448.363037	0.046150	0.038356	899.603551	748.675010	112	108	0.909091	0.000000	0.801116	0.301289	0.860284	0.149277	0.854497	0.236109
84	14467	1.000000	1.023529	1.005925	0.049313	0.028019	1021.454976	586.395526	93	93	0.808081	0.303030	0.514310	0.281894	0.538889	0.280833	0.496616	0.286300
85	14642	0.900000	1.026878	1267.370569	0.055725	0.046793	983.338436	863.468486	99	79	0.909091	0.000000	0.861064	0.521745	0.632687	0.242105	0.537787	0.343390
86	14925	0.966667	1.032883	205.277396	0.069913	0.047967	1361.550543	964.214779	125	123	0.909091	0.000000	0.700448	0.245461	0.750972	0.202216	0.754411	0.215861
87	11473	0.966667	1.022001	204.092966	0.045888	0.029974	947.134580	586.093573	97	96	0.909091	0.000000	0.730018	0.321252	0.650000	0.294775	0.537081	0.326276
88	12062	0.933333	1.023838	223.119107	0.047676	0.030390	1010.510276	604.037505	116	111	0.808081	0.303030	0.618784	0.394608	0.667632	0.296950	0.527222	0.471514
89	12079	0.966667	1.042677	105.327801	0.089459	0.052110	1718.880496	1050.288767	144	141	0.808081	0.303030	0.652688	0.429832	0.640675	0.312239	0.512981	0.354075
